Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power bhp,Max Power rpm,Max Torque Nm,Max Torque rpm,Make - Model
505000,2017,87150,Petrol,Manual,Pune,Grey,First,Corporate,1198.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,87.0,6000.0,109.0,4500.0,Honda - Amaze 1.2 VX i-VTEC
450000,2014,75000,Diesel,Manual,Ludhiana,White,Second,Individual,1248.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,74.0,4000.0,190.0,2000.0,Maruti Suzuki - Swift DZire VDI
220000,2011,67000,Petrol,Manual,Lucknow,Maroon,First,Individual,1197.0,FWD,3585.0,1595.0,1550.0,5.0,35.0,79.0,6000.0,112.7619,4000.0,Hyundai - i10 Magna 1.2 Kappa2
799000,2019,37500,Petrol,Manual,Mangalore,Red,First,Individual,1197.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,82.0,6000.0,113.0,4200.0,Toyota - Glanza G
1950000,2018,69000,Diesel,Manual,Mumbai,Grey,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,7.0,55.0,148.0,3400.0,343.0,1400.0,Toyota - Innova 2.4 VX 7 STR [2016-2020]
675000,2017,73315,Petrol,Manual,Pune,Grey,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,91.0,6000.0,130.0,4000.0,Maruti Suzuki - Ciaz ZXi
1898999,2015,47000,Petrol,Automatic,Mumbai,White,Second,Individual,1991.0,FWD,4630.0,1777.0,1432.0,5.0,,181.0,5500.0,300.0,1200.0,Mercedes-Benz - CLA 200 Petrol Sport
2650000,2017,75000,Diesel,Automatic,Coimbatore,White,Second,Individual,1995.0,AWD,4439.0,1821.0,1612.0,5.0,51.0,188.0,4000.0,400.0,1750.0,BMW - X1 xDrive20d M Sport
1390000,2017,56000,Petrol,Automatic,Mumbai,White,First,Individual,1798.0,FWD,4670.0,1814.0,1476.0,5.0,50.0,177.0,5100.0,250.0,1250.0,Skoda - Octavia 1.8 TSI Style Plus AT [2017]
575000,2015,85000,Diesel,Manual,Mumbai,White,First,Individual,1461.0,FWD,4331.0,1822.0,1671.0,5.0,50.0,84.0,3750.0,200.0,1900.0,Nissan - Terrano XL (D)
591000,2017,20281,Petrol,Manual,Mumbai,Red,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000.0,Hyundai - Elite i20 Sportz 1.2
459999,2018,22541,Petrol,Manual,Bangalore,Grey,First,Individual,999.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,67.0,5500.0,91.0,4250.0,Renault - Kwid 1.0 RXT [2016-2019]
1075000,2019,30672,Petrol,Automatic,Bangalore,Blue,First,Individual,1462.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,103.0,6000.0,138.0,4400.0,Maruti Suzuki - Ciaz Alpha Hybrid 1.5 AT [2018-2020]
1695000,2019,20856,Diesel,Manual,Bangalore,Orange,First,Individual,1956.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,138.0,3750.0,350.0,1750.0,Tata - Harrier XZ [2019-2020]
944999,2017,41417,Petrol,Automatic,Bangalore,Grey,First,Individual,1197.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,103.0,5000.0,175.0,1500.0,Volkswagen - Polo GT TSI
